Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.55907781,-0.132780083,-0.391930836,0.912863071,-1.613832853,-0.929460581
2.708933718,-0.082987552,-0.322766571,0.838174274,-1.556195965,-0.991701245
2.74351585,-0.020746888,-0.253602305,0.738589212,-1.510086455,-1.091286307
2.69740634,0.029045643,0.149855908,0.190871369,-1.510086455,-1.091286307
2.685878963,0.141078838,0.034582133,0.302904564,-1.39481268,-1.228215768
2.801152738,0.165975104,0.023054755,0.489626556,-1.337175793,-1.265560166
2.824207493,0.041493776,-2.270893372,1.385892116,-1.25648415,-1.315352697
2.74351585,0.01659751,-2.063400576,1.547717842,-1.233429395,-1.315352697
2.65129683,-0.008298755,-2.063400576,1.871369295,-1.129682997,-1.452282158
2.582132565,-0.107883817,-2.224783862,1.933609959,-1.025936599,-1.427385892
2.628242075,-0.12033195,-1.959654179,1.933609959,-0.899135447,-1.46473029
2.69740634,-0.12033195,-1.890489914,1.883817427,-0.853025937,-1.439834025
2.778097983,-0.070539419,-1.763688761,2.369294606,-0.887608069,-1.377593361
2.847262248,0.01659751,-1.383285303,0.365145228,-0.899135447,-1.377593361
2.824207493,0.165975104,-1.57925072,0.526970954,-0.933717579,-1.290456432
2.74351585,0.165975104,-1.878962536,0.601659751,-0.945244957,-1.265560166
2.674351585,0.165975104,-1.936599424,0.987551867,-1.014409222,-1.203319502
2.524495677,0.078838174,-1.936599424,1.074688797,-1.048991354,-1.141078838
2.5129683,0.078838174,-2.005763689,1.336099585,-1.11815562,-1.091286307
2.409221902,-0.070539419,-2.109510086,1.398340249,-1.16426513,-1.066390041
2.409221902,-0.132780083,-2.063400576,1.435684647,-1.268011527,-0.991701245
2.46685879,-0.157676349,-1.925072046,1.510373444,-1.291066282,-0.991701245
2.489913545,-0.157676349,-1.798270893,1.597510373,-1.291066282,-0.966804979
2.628242075,-0.095435685,-1.729106628,1.435684647,-1.360230548,-0.87966805
2.824207493,-0.095435685,-1.925072046,1.199170124,-1.371757925,-0.854771784
2.870317003,-0.008298755,-1.786743516,1.124481328,-1.452449568,-0.767634855
2.916426513,0.078838174,-1.706051873,1.024896266,-1.475504323,-0.767634855
2.939481268,0.203319502,-1.821325648,0.875518672,-1.567723343,-0.680497925
2.801152738,0.215767635,-1.763688761,0.626556017,-1.613832853,-0.65560166
2.639769452,0.190871369,-1.821325648,0.564315353,-1.602305476,-0.755186722
2.547550432,0.091286307,-1.694524496,0.452282158,-1.567723343,-0.755186722
2.443804035,-0.020746888,-1.567723343,0.365145228,-1.510086455,-0.904564315
2.432276657,-0.132780083,-1.417867435,0.390041494,-1.463976945,-0.929460581
2.582132565,-0.170124481,-1.53314121,0.763485477,-1.417867435,-0.991701245
2.662824207,-0.157676349,-1.314121037,0.825726141,-1.417867435,-1.01659751
2.766570605,-0.107883817,-1.198847262,0.713692946,-1.360230548,-1.10373444
2.812680115,-0.008298755,-1.198847262,0.863070539,-1.268011527,-1.116182573
2.65129683,-0.070539419,-1.198847262,1.012448133,-1.175792507,-1.141078838
2.616714697,-0.082987552,-1.141210375,0.975103734,-1.16426513,-1.215767635
2.60518732,-0.033195021,-1.060518732,0.912863071,-1.106628242,-1.278008299
2.65129683,0.10373444,-1.014409222,0.813278008,-1.048991354,-1.302904564
2.870317003,0.2406639,-0.887608069,0.502074689,-0.991354467,-1.390041494
2.92795389,0.2406639,-0.876080692,0.576763485,-1.16426513,-1.352697095
2.939481268,0.128630705,-1.048991354,0.639004149,-1.291066282,-1.402489627
2.812680115,0.01659751,-0.749279539,0.526970954,-1.325648415,-1.278008299
